log size: 1001, duration: 1269
log size: 1002, duration: 1622
log size: 1003, duration: 1558
log size: 1004, duration: 1594
log size: 1005, duration: 1622
log size: 1006, duration: 1620
log size: 1007, duration: 1560
log size: 1008, duration: 1603
log size: 1009, duration: 1649
log size: 1010, duration: 1602
log size: 1011, duration: 1596
log size: 1012, duration: 1600
log size: 1013, duration: 1612
log size: 1014, duration: 1612
log size: 1015, duration: 1597
log size: 1016, duration: 1596
log size: 1017, duration: 1554
log size: 1018, duration: 1590
log size: 1019, duration: 1584
log size: 1020, duration: 1584
log size: 1021, duration: 1434
log size: 1022, duration: 1592
log size: 1023, duration: 1600
log size: 1024, duration: 1648
log size: 1025, duration: 1627
log size: 1026, duration: 1551
log size: 1027, duration: 1563
log size: 1028, duration: 1633
log size: 1029, duration: 1614
log size: 1030, duration: 1583
log size: 1031, duration: 1619
log size: 1032, duration: 1561
log size: 1033, duration: 1620
log size: 1034, duration: 1528
log size: 1035, duration: 1585
log size: 1036, duration: 1547
log size: 1037, duration: 1584
log size: 1038, duration: 1572
log size: 1039, duration: 1640
log size: 1040, duration: 1547
log size: 1041, duration: 1609
log size: 1042, duration: 1555
log size: 1043, duration: 1634
log size: 1044, duration: 1593
log size: 1045, duration: 1567
log size: 1046, duration: 1590
log size: 1047, duration: 1580
log size: 1048, duration: 1585
log size: 1049, duration: 1591
log size: 1050, duration: 1549
log size: 1051, duration: 1585
log size: 1052, duration: 1586
log size: 1053, duration: 1553
log size: 1054, duration: 1658
log size: 1055, duration: 1585
log size: 1056, duration: 1545
log size: 1057, duration: 1572
log size: 1058, duration: 1619
log size: 1059, duration: 1554
log size: 1060, duration: 1577
log size: 1061, duration: 1605
log size: 1062, duration: 1579
log size: 1063, duration: 1593
log size: 1064, duration: 1555
log size: 1065, duration: 1593
log size: 1066, duration: 1584
log size: 1067, duration: 1588
log size: 1068, duration: 1630
log size: 1069, duration: 1631
log size: 1070, duration: 1429
log size: 1071, duration: 1618
log size: 1072, duration: 1609
log size: 1073, duration: 1669
log size: 1074, duration: 1595
log size: 1075, duration: 1615
log size: 1076, duration: 1577
log size: 1077, duration: 1612
log size: 1078, duration: 1618
log size: 1079, duration: 1603
log size: 1080, duration: 1559
log size: 1081, duration: 1437
log size: 1082, duration: 1563
log size: 1083, duration: 1578
log size: 1084, duration: 1596
log size: 1085, duration: 1585
log size: 1086, duration: 1579
log size: 1087, duration: 1554
log size: 1088, duration: 1627
log size: 1089, duration: 1553
log size: 1090, duration: 1615
log size: 1091, duration: 1600
log size: 1092, duration: 1569
log size: 1093, duration: 1583
